,Document Title,PublicationAvenue,Publication Year,Abstract,Article Citation Count
1,The implementation of adaptive requirements engineering process based on case-based reasoning,2017 5th International Conference on Information and Communication Technology (ICoIC7),2017,"One major reason of failure in IT projects is a problem in requirements given by stakeholders, such as incomplete, inconsistent, and incorrect requirements. Requirements Engineering (RE) is a phase in software development life cycle that plays a critical role in determining software requirements from user requirements. Therefore RE could be very influential in determining software quality. Factors that influence the process of RE are organization culture, application domain, and the characteristics of the project. Characteristics and attributes of the IT project should determine the choice of RE processes and techniques. In this paper we present the adaptive process of RE which is based on IT projects characteristics and attributes. We believe conducting RE process based on the right IT projects characteristics and attributes will give more benefits in terms of effectiveness and efficiency. Case-based reasoning approach was adopted for the adaptive process of RE in this study. The IT project parameters that used are project size, complexity, requirements volatility, project category, degree of safety criticality, time and cost constraints. Output of adaptive process of RE is a RE process model recommendation. To evaluate the RE adaptive process, prototype software were developed and used three IT projects as case studies. Results from the experiment showed that the RE process model recommendation helps developer in conducting RE process and the output recommendation satisfied its users.",1
2,Model-based abductive reasoning in automated software testing,Logic Journal of the IGPL,2013,"Automated Software Testing (AST) using Model Checking is in this article epistemologically analysed in order to argue in favour of a model-based reasoning paradigm in computer science. Preliminarily, it is shown how both deductive and inductive reasoning are insufficient to determine whether a given piece of software is correct with respect to specified behavioural properties. Models algorithmically checked in Model Checking to select executions to be observed in Software Testing are acknowledged as analogical models which establish isomorphic relations with the target system's data set. Analogical models developed in AST are presented as abductive models providing hypothetical explanations to observed executions. The model assumption—algorithmic check—software testing process is understood as the abduction—deduction—induction process defining the selective abduction and turned to isolate a set of model-based hypotheses concerning the target system behaviours. A manipulative abduction process is finally recognized in the practice of adapting, abstracting and refining models that do not provide successful predictions.",0
3,An empirical investigation of multiple viewpoint reasoning in requirements engineering,Proceedings IEEE International Symposium on Requirements Engineering (Cat. No.PR00188),1999,"Multiple viewpoints are often used in requirements engineering to facilitate traceability to stakeholders, to structure the requirements process, and to provide richer modelling by incorporating multiple conflicting descriptions. In the latter case, the need to reason with inconsistent models introduces considerable extra complexity. We describe an empirical study of the utility of multiple world reasoning (using abduction) for domain modelling. In the study we used a range of different models (ranging from correct to very incorrect), different fanouts, different amounts of data available from the domain, and different modelling primitives for representing time. In the experiments there was no significant change in the expressive power of models that incorporate multiple conflicting viewpoints. Whilst this does not negate the advantages of viewpoints during requirements elicitation it does suggest some limits to the utility of viewpoints during requirements modelling.",18
4,Software design support using case-based reasoning,Proceedings of International Conference on Expert Systems for Development,1994,"This paper proposes a software design support method using case-based reasoning. The need for raising productivity in software development has long been felt, and a variety of design methods have been proposed in response to this need. These, however, deal mostly with rough procedures, and there is a need for detailed procedures that designers can follow when performing actual design work. One technique for obtaining a detailed procedure would be to refer to actual design cases from the past. The problem here, though, is that such information has not normally been collected and stored because of the additional burden placed on software designers. The authors have thus investigated a way to record design information during design work without placing a burden on the designer, and have developed a system to support design work by effectively reusing past design cases. In this system, past design cases are recorded, and through the use of case-based reasoning techniques, the design procedure and design results are presented to the designer as reusable candidates.<>",1
5,Reasoning-Based Software Testing,2023 IEEE/ACM 45th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),2023,"With software systems becoming increasingly pervasive and autonomous, our ability to test for their quality is severely challenged. Many systems are called to operate in uncertain and highly-changing environment, not rarely required to make intelligent decisions by themselves. This easily results in an intractable state space to explore at testing time. The state-of-the-art techniques try to keep the pace, e.g., by augmenting the tester’s intuition with some form of (explicit or implicit) learning from observations to search this space efficiently. For instance, they exploit historical data to drive the search (e.g., ML-driven testing) or the tests execution data itself (e.g., adaptive or search-based testing). Despite the indubitable advances, the need for smartening the search in such a huge space keeps to be pressing.We introduce Reasoning-Based Software Testing (RBST), a new way of thinking at the testing problem as a causal reasoning task. Compared to mere intuition-based or state-of-the-art learning-based strategies, we claim that causal reasoning more naturally emulates the process that a human would do to ""smartly"" search the space. RBST aims to mimic and amplify, with the power of computation, this ability. The conceptual leap can pave the ground to a new trend of techniques, which can be variously instantiated from the proposed framework, by exploiting the numerous tools for causal discovery and inference. Preliminary results reported in this paper are promising.",0
6,The application of fuzzy enhanced case-based reasoning for identifying fault-prone modules,Proceedings Third IEEE International High-Assurance Systems Engineering Symposium (Cat. No.98EX231),1998,"As highly reliable software is becoming an essential ingredient in many systems, the process of assuring reliability can be a time-consuming, costly process. One way to improve the efficiency of the quality assurance process is to target reliability enhancement activities to those modules that are likely to have the most problems. Within the field of software engineering, much research has been performed to allow developers to identify fault-prone modules within a project. Software quality classification models can select the modules that are the most likely to contain faults so that reliability enhancement activities can be performed to lower the occurrences of software faults and errors. This paper introduces fuzzy logic combined with case-based reasoning (CBR) to determine fault-prone modules given a set of software metrics. Combining these two techniques promises more robust, flexible and accurate models. In this paper, we describe this approach, apply it in a real-world case study and discuss the results. The case study applied this approach to software quality modeling using data from a military command, control and communications (C/sup 3/) system. The fuzzy CBR model had an overall classification accuracy of more than 85%. This paper also discusses possible improvements and enhancements to the initial model that can be explored in the future.",5
7,Coordinated software development: A framework for reasoning about trace links in software systems,2009 International Conference on Intelligent Engineering Systems,2009,"Traceability is an important factor in the success of software projects. However, achieving software traceability has proven to be costly. In this paper, we provide a root cause analysis of the cost problems in conventional traceability approaches. Based on this analysis, we propose technical criteria for a more affordable solution to the traceability problem. We then present a new framework for achieving traceability that satisfies the proposed criteria. Our approach uses coordinated software development as an enabling mechanism to support reasoning about trace links in software systems. Early evaluation of our approach shows encouraging results.",2
8,Requirements refinements and analysis with case-based reasoning techniques to reuse the requirements,2015 International Conference on Electrical Engineering and Informatics (ICEEI),2015,"This paper proposes an approach in Goal-Oriented Requirements refinement and analysis that adapt Case-Based Reasoning techniques. This approach is expected to help emphasizing the reuse of the high quality requirements that have been applied on previous system development process. The Attributed Goal-Oriented Requirements Analysis (AGORA) is simplified to analyze requirements proposed by Goal Tree Model Case-Based. An information system project for a transportation company has been used as a case study to demonstrate this approach. The case study helped demonstrated that the generated requirements using our approach are able to accomplish the company needs, rather than user requirements that are caused by the user's interest in requirements engineering process.",2
9,Software Reuse and Reusability Based on Requirements: Feature Modelling vs. Case-Based Reasoning,2019 IEEE 27th International Requirements Engineering Conference (RE),2019,"Software reuse and reusability range from operational, ad-hoc and short-term to strategic, planned and long-term. Often the focus of attention is just on code or low-level design. This tutorial presents and compares two different requirements-led approaches. The first approach deals with requirements reuse and reusability using feature modelling. The second approach deals with requirements reuse and reusability in the context of case-based reasoning. Both approaches have different key properties and trade-offs between the costs of making software artefacts reusable and the benefits of reusing them. To aid large-scale development, we have proposed a Feature-Similarity Model, which draws on both approaches to facilitate discovering requirements relationships using similarity metrics. A Feature-Similarity Model also helps with the evolution of a product line, since new requirements can be introduced first into a case base and then gradually included into a product line representation.",0
10,Predicting software stability using case-based reasoning,"Proceedings 17th IEEE International Conference on Automated Software Engineering,",2002,"Predicting stability in object-oriented (OO) software, i.e., the ease with which a software item can evolve while preserving its design, is a key feature for software maintenance. We present a novel approach which relies on the case-based reasoning (CBR) paradigm. Thus, to predict the chances of an OO software item breaking downward compatibility, our method uses knowledge of past evolution extracted from different software versions. A comparison of our similarity-based approach to a classical inductive method such as decision trees, is presented which includes various tests on large datasets from existing software.",21
